Time,Activity
16:25,"Soundcheck; Make sure artists can hear themselves and that audiolevels are good will be done for 60 minuets (16:0)"
16:30,"Soundcheck; Make sure artists can hear themselves and that audiolevels are good will be done for 60 minuets (16:0)"
16:35,"Soundcheck; Make sure artists can hear themselves and that audiolevels are good will be done for 60 minuets (16:0)"
16:40,"Soundcheck; Make sure artists can hear themselves and that audiolevels are good will be done for 60 minuets (16:0)"
16:45,"Soundcheck; Make sure artists can hear themselves and that audiolevels are good will be done for 60 minuets (16:0)"
16:50,"Soundcheck; Make sure artists can hear themselves and that audiolevels are good will be done for 60 minuets (16:0)"
16:55,"Soundcheck; Make sure artists can hear themselves and that audiolevels are good will be done for 60 minuets (16:0)"
17:00,"Assure everything is right; Make sure the restrooms, serving and other necessities work. Work on aspects that aren't completely working. will be done for 50 minuets (17:0)"
17:05,"Assure everything is right; Make sure the restrooms, serving and other necessities work. Work on aspects that aren't completely working. will be done for 50 minuets (17:0)"
17:10,"Assure everything is right; Make sure the restrooms, serving and other necessities work. Work on aspects that aren't completely working. will be done for 50 minuets (17:0)"
17:15,"Assure everything is right; Make sure the restrooms, serving and other necessities work. Work on aspects that aren't completely working. will be done for 50 minuets (17:0)"
17:20,"Assure everything is right; Make sure the restrooms, serving and other necessities work. Work on aspects that aren't completely working. will be done for 50 minuets (17:0)"
17:25,"Assure everything is right; Make sure the restrooms, serving and other necessities work. Work on aspects that aren't completely working. will be done for 50 minuets (17:0)"
17:30,"Assure everything is right; Make sure the restrooms, serving and other necessities work. Work on aspects that aren't completely working. will be done for 50 minuets (17:0)"
17:35,"Assure everything is right; Make sure the restrooms, serving and other necessities work. Work on aspects that aren't completely working. will be done for 50 minuets (17:0)"
17:40,"Assure everything is right; Make sure the restrooms, serving and other necessities work. Work on aspects that aren't completely working. will be done for 50 minuets (17:0)"
17:45,"Assure everything is right; Make sure the restrooms, serving and other necessities work. Work on aspects that aren't completely working. will be done for 50 minuets (17:0)"
17:50,"Set up stands for stuff that can be sold or other things. will be done for 30 minuets (17:50)"
17:55,"Set up stands for stuff that can be sold or other things. will be done for 30 minuets (17:50)"
18:00,"Set up stands for stuff that can be sold or other things. will be done for 30 minuets (17:50)"
18:05,"Set up stands for stuff that can be sold or other things. will be done for 30 minuets (17:50)"
18:10,"Set up stands for stuff that can be sold or other things. will be done for 30 minuets (17:50)"
18:15,"Set up stands for stuff that can be sold or other things. will be done for 30 minuets (17:50)"
18:20,"People Arive!!! Everything must be ready beforehand. will be done for 10 minuets (18:20)"
18:25,"People Arive!!! Everything must be ready beforehand. will be done for 10 minuets (18:20)"
18:30,"Consert officially starts; Hosts introduce the consert will be done for 15 minuets (18:30)"
18:35,"Consert officially starts; Hosts introduce the consert will be done for 15 minuets (18:30)"
18:40,"Consert officially starts; Hosts introduce the consert will be done for 15 minuets (18:30)"
18:45,"Annika, Daniëlle, Boaz and Eva will perform a Ensemble called Piano man. It lasts 7 minutes, importance = 10"
18:50,"Annika, Daniëlle, Boaz and Eva will perform a Ensemble called Piano man. It lasts 7 minutes, importance = 10"
18:55,"Britt, Daniëlle, Amelie will perform a ensemble called het regent zonnestralen. It lasts 4 minutes, importance = -80"
19:00,"Marion, Euginie, Daniëlle will perform a ensemble called Stairway to Heaven. It lasts 10 minutes, importance = 50"
19:05,"Marion, Euginie, Daniëlle will perform a ensemble called Stairway to Heaven. It lasts 10 minutes, importance = 50"
19:10,"Marion, Euginie, Daniëlle will perform a ensemble called Stairway to Heaven. It lasts 10 minutes, importance = 50"
19:15,"Empty Slot"
19:20,"Empty Slot"
19:25,"Empty Slot"
19:30,"Empty Slot"
19:35,"Empty Slot"
19:40,"Empty Slot"
19:45,"Empty Slot"
19:50,"Empty Slot"
19:55,"A 15 minute break. First break"
20:00,"A 15 minute break. First break"
20:05,"A 15 minute break. First break"
20:10,"Empty Slot"
20:15,"Empty Slot"
20:20,"Empty Slot"
20:25,"Empty Slot"
20:30,"Empty Slot"
20:35,"Empty Slot"
20:40,"Empty Slot"
20:45,"Empty Slot"
20:50,"Empty Slot"
20:55,"Empty Slot"
21:00,"Empty Slot"
21:05,"A 15 minute break. Second Break"
21:10,"A 15 minute break. Second Break"
21:15,"A 15 minute break. Second Break"
21:20,"Empty Slot"
21:25,"Empty Slot"
21:30,"Empty Slot"
21:35,"Empty Slot"
21:40,"Empty Slot"
21:45,"Empty Slot"
21:50,"Empty Slot"
21:55,"Empty Slot"
22:00,"Empty Slot"
22:05,"Empty Slot"
22:10,"Empty Slot"
